artistid,name,dob,Nationality
S23OSV34,Taylor Swift,12/13/89,American
E27XLD54,BTS,2013,Korean
Q51YOL82,Keshi,11/4/94,American
Q62PZZ33,Adele,5/5/88,English
R12BIX40,Chris Brown,5/5/89,American
N89VNU15,Black Pink,2016,Korean
X59KAP67,Super Junior,2005,Korean
U39XDW37,Justin Bieber,3/1/94,Canadian
H38GYH40,Conan Gray,12/5/98,American
R16WFH48,Demi Lovato,8/20/92,American
S21CWF73,IU,5/16/93,Korean
M87KFV63,AKB48,2005,Japanese
B59PUV10,Ed Sheeran,2/17/91,English
N53JGZ75,Lyn,11/9/81,Korean
Q58MUO15,Surfaces,2017,American
J80CKY74,Pink Sweat$,2/14/92,American
T13QNA49,Bazzi,8/28/97,American
L21ICN70,Post Malone,7/4/95,American
M33RSH19,Dirty Heads,2006,American
L58GKD65,Rich Brian,9/3/99,Indonesian
F56DMJ72,My Tam,1/16/81,Vietnamese
X75NSH99,Niki,1/24/99,Indonesian
O10YMB14,Charlie Puth,12/2/91,American
D42IFV71,Shawn Mendes,8/8/98,Canadian
C95ECB42,Amee,3/23/00,Vietnamese
D90ARC37,Bruno Mars,10/8/85,American
F95OGT23,Mariah Carey,3/27/69,American
N11VTM64,Kelly Clarkson,4/24/82,American
Y84UOP37,Selena Gomez,7/22/92,American
B63FNP61,Idolish7,2015,Japanese
C36PPC66,Orange Range,2001,Japanese
T83YRU27,B'z,1988,Japanese
H49MRU64,INTERSECTION,2018,Japanese
R77OXO37,Hikaru Utada,1/19/83,Japanese
A19HOW47,ONE OK ROCK,2005,Japanese
Z19PSC83,YOASOBI,2019,Japanese
X67IUO11,PSY,12/31/77,Korean
O16JXL51,Dean,11/10/92,Korean
P80NBP92,Baek Ji Young,3/25/76,Korean
J64DCY40,Hoang Dung,11/4/95,Vietnamese
H83XNN38,Camila Cabello,3/3/97,American
GIGKQ02,BEAST,19-Aug,Korean